spread_id,name
1,Aioli
2,Almond Butter
3,Anchovy Paste
4,Apple Butter
5,Baba Ghanoush
6,Barbecue Sauce
7,Basil Pesto
8,Beef Marrow
9,Black Olive Tapenade
10,Bruschetta - Red Pepper
11,Bruschetta - Tomato
12,Butter
13,Cashew Butter
14,Chutney - Peach
15,Clotted Cream
16,Cranberry Sauce
17,Crema Mexicana
18,Creme Fraiche
19,Dark Sesame Oil
20,Fish Sauce
21,Fluffernutter
22,Ghee
23,Grape Jelly
24,Gravy - Beef
25,Gravy - Turkey
26,Greek Yogurt
27,Green Olive Tapenade
28,Guacamole
29,Guajillo Chili Sauce
30,Harissa
31,Hoisin Sauce
32,Honey
33,Horseradish
34,Hummus
35,Italian Dressing
36,Jam - Apricot
37,Jam - Blueberry
38,Jam - Fig
39,Jam - Grape
40,Jam - Mixed Berry
41,Jam - Onion
42,Jam - Strawberry
43,Jelly - Mint
44,Jerk Sauce
45,Ketchup
46,Lard
47,Lemon Curd
48,Macadamia Butter
49,Maple Syrup
50,Margarine
51,Mayo
52,Mint Jelly
53,Miso
54,Mole Sauce
55,Mustard
56,Mustard - Dijon
57,Mustard - Honey
58,Nutella
59,Olive Oil
60,Orange Marmalade
61,Peanut Butter - Chunky
62,Peanut Butter - Smooth
63,Peanut Sauce - Spicy
64,Pecan Butter
65,Pizza Sauce
66,Pomegranate Molasses
67,Pumpkin - Canned
68,Pumpkin Pie Filling
69,Raita
70,Ranch Dressing
71,Refried Beans
72,Relish - Pickle
73,Russian Dressing
74,Salsa
75,Schmaltz
76,Skyr
77,Sour Cream
78,Soy Sauce
79,Sriracha
80,Steak Sauce
81,Sunflower Butter
82,Sweet Potato Puree
83,Taco Sauce
84,Tahini
85,Tamari
86,Thai Green Curry Paste
87,Thai Red Curry Paste
88,Tomato Sauce
89,Tzatziki
90,Vinegar - Balsamic
91,Vinegar - Red Wine
92,Vinegar - Sherry
93,Vinegar - Tarragon
94,Vinegar - Umeboshi
95,Vodka Sauce
96,Wasabi
97,Worcestershire Sauce
